system,sltp_method,total_opened,decisive,wins,losses,be_count,win_rate,pnl_r,avg_win,avg_loss,expectancy,profit_factor,sharpe,max_dd,max_consec_l,trades_per_day,wf_mean_wr,wf_std_wr,wf_positive_pct,mc_pnl_p10,mc_pnl_p50,mc_pnl_p90,mc_ruin_pct,rank_score
macd_8_21_5,range_w30_q75_rr3.0,27398,25588,7652,17936,1810,29.904642801313113,2119.852593625254,2.4282699265841825,-0.917802569510041,0.08282845831991814,1.1287481672510102,9.562129342959713,174.79004590351565,27,142.15555555555557,29.917057867485976,0.9527692132827023,0.0,1818.1229960627647,2134.4314377211285,2480.577080925598,0.21,0.006256929810690738
macd_hist_8_21_5,range_w30_q75_rr3.0,27398,25588,7652,17936,1810,29.904642801313113,2119.852593625254,2.4282699265841825,-0.917802569510041,0.08282845831991814,1.1287481672510102,9.562129342959713,174.79004590351565,27,142.15555555555557,29.917057867485976,0.9527692132827023,0.0,1818.1229960627647,2134.4314377211285,2480.577080925598,0.21,0.006256929810690738
macd_12_26_9,range_w100_q75_rr3.0,18961,16962,4832,12130,1999,28.48720669732343,1502.28200422407,2.7068498262008895,-0.9544223724923923,0.08857180650100105,1.1297690572513497,7.9832409345235575,94.13921882449856,29,94.23333333333333,28.49461346600392,0.8787532379609144,0.0,1238.8474002586577,1528.4511109088808,1829.3443233013327,0.21,0.005586011563297582
macd_hist_12_26_9,range_w100_q75_rr3.0,18961,16962,4832,12130,1999,28.48720669732343,1502.28200422407,2.7068498262008895,-0.9544223724923923,0.08857180650100105,1.1297690572513497,7.9832409345235575,94.13921882449856,29,94.23333333333333,28.49461346600392,0.8787532379609144,0.0,1238.8474002586577,1528.4511109088808,1829.3443233013327,0.21,0.005586011563297582
macd_8_21_5,range_w100_q75_rr3.0,27356,25511,7646,17865,1845,29.97138489279135,2076.2872315012764,2.39967800136972,-0.9108400107651613,0.08136808459696898,1.1275664457174441,9.435227340606028,177.63587305216515,28,141.7277777777778,29.983926190357693,0.8958957316541836,0.0,1718.6713953742878,2087.5432832803644,2429.4939951404003,0.285,0.005489243591560772
macd_hist_8_21_5,range_w100_q75_rr3.0,27356,25511,7646,17865,1845,29.97138489279135,2076.2872315012764,2.39967800136972,-0.9108400107651613,0.08136808459696898,1.1275664457174441,9.435227340606028,177.63587305216515,28,141.7277777777778,29.983926190357693,0.8958957316541836,0.0,1718.6713953742878,2087.5432832803644,2429.4939951404003,0.285,0.005489243591560772
emafan_8_13_21,range_w60_q75_rr3.0,12698,11042,3049,7993,1656,27.612751313167905,1097.939777735185,2.934398137200606,-0.9820141356664894,0.0994150456386883,1.1398531674022006,6.9988479708868425,83.86865988378554,26,61.34444444444444,27.64752724052679,1.243082489926098,0.0,851.2463190096512,1119.1753220520227,1360.888855111649,0.23,0.0053575890864184655
emafan_8_13_21,range_w30_q75_rr3.0,12713,11123,3080,8043,1590,27.690371302706108,1139.3747459453757,2.935974303376516,-0.9826681825243929,0.10241847184716157,1.1441369293328847,7.227881567642334,89.10281084343137,35,61.794444444444444,27.72139270729186,1.1723677816991782,0.0,914.5316493311806,1148.381835362824,1362.6953547973312,0.3,0.00518188009395136
emafan_8_13_21,range_w100_q75_rr3.0,12698,11010,3045,7965,1688,27.656675749318797,1105.8628933714594,2.9303068753413513,-0.9814213018225776,0.1004326763303891,1.141455909254576,7.061317366028271,110.50637633932115,29,61.166666666666664,27.69517653071673,1.4051493468841985,0.0,870.6468493102194,1093.6726655857606,1367.0726689508108,0.28,0.005106146410717006
macd_8_21_5,range_w60_q75_rr3.0,27367,25546,7628,17918,1821,29.859860643544977,2030.7672508485223,2.4131947799073927,-0.9140411369006947,0.07946687114017636,1.1239520596381447,9.202070231048653,174.94680815930178,28,141.92222222222222,29.871365050250617,0.8651967596868195,0.0,1669.7146057928928,2037.897052709352,2376.672687320445,0.305,0.005082255118451494
